Label,Content
25,"January is #HumanTraffickingAwarenessMonth.
Did You Know... 42% of trafficking victims were brought into trafficking by a member of their own families.
 Know the signs: https://t.co/2mHda7mTfr
#HTAM #TheMoreYouKnow #FridayFacts #BeTheGood #OneMissionOneVoice ??
@Polaris_Project https://t.co/XsNx8Z6681"
26,"“A lot of the grooming is what gets people wrapped into it and then it’s extremely difficult to get out because their lives are threatened..” #HumanTraffickingAwarenessMonth

https://t.co/NBO2orY6zH"
27,"Join us Wednesday, January 25, at PFC Kalamazoo to discuss labor trafficking at a free Fair Trade Wine &amp; Food tasting! Link in bio! #humantraffickingawarenessmonth #HTAM #fairtrade #labortrafficking #ywcakalamazoo #winetasting https://t.co/a0AL6OD3YN"
28,"The Oklahoma Commission on the Status of Women report an estimated 4,000 Oklahomans seek help from human trafficking situations. 

#HumanTraffickingAwarenessMonth

https://t.co/dNRtG6BlhU"
29,January is human trafficking awareness month! Join the fight and spread the word! #HumanTraffickingAwarenessMonth #HumanTrafficking #JGF #JGFFoundation #EndHumanTrafficking @joeygiggles @OURrescue https://t.co/nbnQjJlHag
30,"Help Stop Human Trafficking

To report suspected human trafficking to Federal law enforcement call:
1.866.347.2423

 #HumanTraffickingAwarenessMonth #PeopleAreNotForSale? #endhumantrafficking?? #HumanTraffickingIsReal https://t.co/wQfpd42cx6"
31,"#HumanTrafficking is a form of modern slavery that occurs across the United States -- including Pennsylvania.

If you suspect someone is a victim, contact the National Human Trafficking Hotline at 1-888-373-7888 (TTY: 711), text 233733.

#HumanTraffickingAwarenessMonth https://t.co/QjTG2ZhkEO"
32,"For Immediate Release: HSI Dallas multi-agency operation leads to arrest of 46 individuals for state sex trafficking violations. 
#HumanTraffickingAwarenessMonth https://t.co/K9iWqOXMED"
33,"While #HumanTrafficking can happen to anyone, traffickers often target vulnerable individuals. Here are some of the factors that can put someone at greater risk of being a victim of labor or sex trafficking… Learn more: https://t.co/sZZmpJpERV #HumanTraffickingAwarenessMonth https://t.co/XHJuOkEcKg"
34,"""We are so thankful for their mission to end human trafficking in North Carolina and hope that together, we can make a difference.” #HumanTraffickingAwarenessMonth

https://t.co/oNkMa3mfEt"
35,"It's #HumanTraffickingAwarenessMonth. Let's take the time to understand the issue, share it with others, and join forces to help those suffering from it. Watch our video to learn about Casa Libertad, our upcoming project in Costa Rica. https://t.co/nwoQmpOYsv"
36,"Building and supporting strong families and communities is the best way to prevent child trafficking. Learn more and become a Rapha Prevention Partner at https://t.co/Ka195HWCK1

#humantraffickingawarenessmonth #family #prevention #endchildtrafficking https://t.co/ovLAbPwesZ"
37,"In the month of Jan...

WE ARE NOTICING
WE ARE JOINING
WE ARE ACTION
WE ARE COMMITTED

WE ARE NJAC!!!

Thank you @covenanthousenj
 for providing safe space for those in NJ battling trafficking &amp; homelessness.

#endtrafficking #newjersey #HumanTraffickingAwarenessMonth #njac_helps https://t.co/w0vRt7Kqs3"
38,"#HumanTraffickingAwarenessMonth is about more than education, it’s also about action! Here’s one thing you can do this week: talk to the children in your life in age-appropriate ways.

Start by listening to our podcast episode 'Keeping Kids Safe Online': https://t.co/LCACeCW9LC https://t.co/unFLICa3OO"
39,"Here is our facebook... Please see our support services that we have for people who need safe spaces in New Jersey.

https://t.co/NRRxzZCD3A

#domesticviolence #sexualviolence #reentry #healthservices #newjersey #HumanTraffickingAwarenessMonth #endhumantrafficking #njac_helps"
40,"#HumanTraffickingAwarenessMonth Organ trafficking is little researched. CA &amp; US don't consider it trafficking. India, as you see in the short clip, is complicit. Politically, India &amp; a network of countries ignore it exists - ""at least they get paid"".?? 
https://t.co/yOtEbpqpGX"
41,January is #HumanTraffickingAwarenessMonth. Learn more about how to recognize the signs of human trafficking and how we can fight back against this horrible crime. Visit https://t.co/Ynq6JZBFgc. Together we can #EndTrafficking. https://t.co/ZeErzSacBv
42,"On the next International Reporters Roundtable:
Award-Winning #Journalists Todd Bensman, Kay Rubacek and Eric Caron join host Steve Lance as they delve deeply into the #HumanTrafficking industry.

Sat 1pm ET/Sun 7pm ET on NTDTV 

#Humantraffickingawarenessmonth https://t.co/zK3HiP0mHq"
43,"On the next International Reporters Roundtable:
Award-Winning #Journalists Todd Bensman, Kay Rubacek and Eric Caron join host Steve Lance as they delve deeply into the #HumanTrafficking industry.

Sat 1pm ET/Sun 7pm ET on NTDTV 

#Humantraffickingawarenessmonth https://t.co/KgANptlVmD"
44,Phenomenal documentary on an issue that effects the safety of billions of children &amp; women everyday. #trafficking #traffickinghub #humantraffickingawarenessmonth https://t.co/oud5bgQdT9
45,"The U.S. State Department said more than 27.6 million adults and children are being subjected to human trafficking around the world, including all 50 states, in rural and urban areas alike. It is modern-day slavery. #HumanTraffickingAwarenessMonth
https://t.co/UNmDw9w2NK"
46,This month is #HumanTraffickingAwarenessMonth &amp; we're resharing our blog on #6TruthsaboutHumanTrafficking. It’s easy to think it doesn’t happen near you but TX ranks 2nd in the nation for reported cases. Read more &amp; stay tuned for ways to prevent it: https://t.co/8s863DXatO https://t.co/JMXHveJOPz
47,"January is Human Trafficking Awareness Month. We must educate ourselves about human trafficking, learn to spot signs of trafficking, and take these messages to our community workplaces, churches, schools, and everywhere else. 
#humantraffickingawarenessmonth
#ProtectOurChildren https://t.co/oX6MF722qK"
48,Human trafficking wouldn’t exist if there wasn’t demand for commercial sex and cheap labor. Let’s work together for a state free of human trafficking. #ncstophumantrafficking #endhumantrafficking #humantraffickingpreventionmonth #humantraffickingawarenessmonth #humantrafficking https://t.co/XmMPw8lbTd
49,A new specialty license plate is being launched in #Texas to help stop #HumanTrafficking. Public is urged to report suspected trafficking via the #iwatchtexas program. #HumanTraffickingAwarenessMonth    https://t.co/EL6U08Yhrw
50,My book Diffusing Human Trafficking Policy in Eurasia is 50% off for #HumanTraffickingAwarenessMonth!  If you want to learn about anti-trafficking efforts in #Ukraine before the invasion this book is for you. It shows the solid policy foundation that has helped ???? during the war! https://t.co/L4vNKWhKTl
51,"Another step taken in an attempt for safety and spreading awareness.
https://t.co/bDzWNUA1zy

#SlaveryandHumanTraffickingPreventionMonth #HTAM #HumanTraffickingAwarenessMonth #helpstophumantrafficking #geteducated #empowerment #EndRape #SunshineHeadquarters #UnseenFortitude https://t.co/kypo6QenyC"
52,Combatting #HumanTraifficking is important because anyone can be a victim! ???? to ???? NGOs who work every day to raise awareness &amp; support victims. #HumanTraffickingAwarenessMonth https://t.co/ATfJ58GtP5
53,"January is #HumanTraffickingAwarenessMonth. All across the world, and even in our communities, individuals are exploited for sex, labor, and forced marriage. 

Learn more about how you can join the fight against it on page 19: https://t.co/8OxZrVsZDy        

#fortwayne #glomag https://t.co/RyGY1WT4ow"
54,"Thanks you @theALtrucker and the @AlabamaTrucking  and @TatTruckers for all you are doing to fight #humantrafficking.

#HumanTraffickingAwarenessMonth #trucking https://t.co/L4fOzZgIfL"
55,What an honor! To go back into the public schools and share my story and knowledge about human trafficking! We even helped a young person be identified. #HumanTraffickingAwarenessMonth
56,"On the next International Reporters Roundtable:
Award-Winning #Journalists @BensmanTodd, @KRubacek and @Caron2049 join host @SteveLanceNTD for a deep dive into the #HumanTrafficking industry.

Sat 1pm ET/Sun 7pm ET on NTDTV @NTDNews

#Humantraffickingawarenessmonth https://t.co/o92k2wCXEq"
57,"On the next International Reporters Roundtable:
Award-Winning #Journalists @BensmanTodd, @KRubacek and @Caron2049 join host @SteveLanceNTD for a deep dive into the #HumanTrafficking industry.

Sat 1pm ET/Sun 7pm ET on NTDTV @NTDNews

#Humantraffickingawarenessmonth https://t.co/hVHCwYZO2n"
58,"January is #HumanTraffickingAwarenessMonth 
Unfortunately, children can also be victims of human trafficking. It happens across all demographics. If a child is involved in human trafficking, they should be viewed as a victim and not offender. https://t.co/zstS0nExZO"
59,"#HumanTraffickingAwarenessMonth Individuals looking to #exploit others will use emotional, mental &amp; financial support to gain trust &amp; build dependency in potential victims. To view indicators of what a potentially exploitative #relationship include, visit:
https://t.co/4UDLkKHOyx https://t.co/YaCZVTJ16I"
60,"Read part one of our three-part human trafficking (HT) article series, “Understanding Human Trafficking,” to learn about the different forms that HT here: https://t.co/EFOy968hfD 
#HumanTraffickingAwarenessMonth"
61,“A 2016 national study found more than 1/3 of young people involved in the U.S. sex trade were boys and young men. […] Black and brown males […] and LGBTQ young people are at higher risk.” #HumanTraffickingAwarenessMonth #SexTrafficking https://t.co/DutvjjaIYZ
62,"?? Have questions about #HumanTrafficking? Get answers here: https://t.co/oxVkL7rQzR

#HumanTraffickingAwarenessMonth #StartTheConversation https://t.co/EoWSSNkDmk"
63,"“When victims come in and you just give them a safe place to live, you can physically see them breathe.” #HumanTraffickingAwarenessMonth

https://t.co/ug2tMdV4DS"
64,"#HumanTraffickingAwarenessMonth.  Have you seen this video?  ""The Rabbit Hole"" is a very powerful video by SOS International.  Please watch it when you have a few minutes.  It will make you cry.  https://t.co/SZ77PlIozl"
65,"To get help from the National Human Trafficking Hotline call:
1.888.373.788
or
Text HELP or INFO to BeFree (233733)

 #endhumantrafficking?? #HumanTraffickingAwarenessMonth #HumanTraffickingIsReal #PeopleAreNotForSale? https://t.co/yMEbFgVHcD"
66,"No buyers = no victim = no sex trafficking. Learn more about how we can address demand for commercial sex as part of our efforts to combat human trafficking: https://t.co/URiB7qHUS6

#humantraffickingawarenessmonth #nhtam #nhtam23 #endtrafficking #mantomancampaign https://t.co/LAILwpWtot"
67,"“Everyone sees human trafficking just about every day, most people just don’t recognize it,” Merna said. #HumanTraffickingAwarenessMonth

https://t.co/t7DoHQutWu"
68,For #HumanTraffickingAwarenessMonth let’s build awareness for how most people don’t know that coercion is illegal. People like Andrew Tate and my traffickers thrive in a culture that doesn’t understand and embrace consent
69,"This month is #HumanTraffickingAwarenessMonth. Human trafficking is a multi-billion dollar industry, and it’s happening in Tennessee, at the US southern border, &amp; around the globe. We must raise awareness &amp; put an end to this despicable crime together. https://t.co/EfNOD5uNmN"
70,"People?Are?Not?For?Sale?

?? Help spread this information by sharing
??Check out our website https://t.co/NrqWEQszHN for more information or to make donations( link in bio) 
#humantraffickingawareness #humantraffickingawarenessmonth #humanrights #theonlytimeisnow https://t.co/lQnIVZT1GC"
71,"January is stalking awareness month – for support, safety planning or more information call the UNICA bilingual (ENG/SPA) crisis line at 503-232-4448. #stalkingawarenessmonth #humantraffickingawarenessmonth #stophumantrafficking https://t.co/IcOIpmXbdD"
72,"January is #HumanTraffickingAwarenessMonth. 

#ConvenantHouse research shows that 68% of youth who have been trafficked had done so while homeless. 

Find out more about human trafficking and what Covenant House is doing to stop it &gt;&gt; https://t.co/9IN1jYF7B0"
73,"Human trafficking is more common than you may think.

Visit https://t.co/6ZPEhdo5Wk to learn more about what human trafficking can look like, and how to report something suspicious. #HumanTraffickingAwarenessMonth https://t.co/orEiGvZeVS"
74,"Learn more about the barriers and resources that exist for survivors of domestic violence and human trafficking. Public Law Center will be giving a workshop at WTLC! 

#knowyourrights #humantrafficking #humantraffickingawarenessmonth  #support #empower #donate #resources #PLC https://t.co/RbcHurY6vr"
75,"??Below is a great opportunity from our friends at the Broward SAO to seal &amp; expunge criminal records! If you are a survivor of #HumanTrafficking, CCLA can help! https://t.co/fZH2KNkbdZ January is #HumanTraffickingAwarenessMonth! #Law #Legal #HT #Survivor #Victim https://t.co/g1TAloyfNB"
76,"“My perspective is, well yes, we need to serve those who have already been victimized, but how do we prevent people from getting in this situation?” Strickland said. “Not as much time and energy has been devoted to that.” #HumanTraffickingAwarenessMonth

https://t.co/1V8icM810r"
77,"For #HumanTraffickingAwarenessMonth we are highlighting portions of Towards Bodily Autonomy that discuss the negative impact of dominant carceral anti-trafficking laws, strategies, and narratives. https://t.co/AJx1Tcg3nv"
78,"It's Human Trafficking Awareness Month. @ecpatusa can train you and your organization on what to look for to help victims of human trafficking.

#HumanTrafficking #HumanTraffickingAwarenessMonth #EventIndustry #TravelIndustry #EventProfs https://t.co/cwIn2dlzi1"
79,".@DallasPD supports #HumanTraffickingAwarenessMonth and the Blue Heart campaign, we would like to take a moment to celebrate our non-profit partners. https://t.co/GmoMcf7yd8"
80,"January is #HumanTraffickingAwarenessMonth. Sex trafficking undermines the rule of law, robs millions of their dignity &amp; freedom, and threatens public safety &amp; security everywhere. We are committed to doing our part to ensure #HumanTrafficking is prevented in TN. https://t.co/BvSNFSGhdQ"
81,I wrote a blog! Thank you to @MissingKids for giving me the chance to share my thoughts during #HumanTraffickingAwarenessMonth https://t.co/oaEB849XyF
82,"A simple phone call could save a life, could free a life. #HumanTraffickingAwarenessMonth

https://t.co/ny3QfPsFPI"
83,Raising awareness about #humantrafficking @ OliverStreetSchool in #NewarkNJ Thx @safernj #humantraffickingawarenessmonth https://t.co/49HmkYzTqX https://t.co/3aRAo8eM3e
84,"January is #HumanTraffickingAwarenessMonth

When looking at cold cases, there are victimology warning signs that citizen detectives should look at that could indicate if someone has been trafficked.

Learn more??https://t.co/B07UjHRhO8 https://t.co/QEofsCVnNq"
85,"#DidYouKnow 

According to the U.S. State Department’s Trafficking in Persons report, due to their coercive nature and denial of fundamental human rights, #Cuba’s international medical missions are a form of human trafficking and modern slavery.

#HumanTraffickingAwarenessMonth"
86,"Thank you, Secretary Blinken ~??
#January2023 
#HumanTraffickingAwarenessMonth 
#thursdaymorning 
#thursdayvibes 
#GlobalPolitics 
#InternationalNews https://t.co/TmOEuePHHo https://t.co/g1N5P1zFAE"
87,"Jan. is #HumanTraffickingAwarenessMonth and I'm re-sharing my interview with @SFAGlobal Int'l Dev. Dir. Tim Nelson. There are #riskmanagement challenges, but personally, this is a critical issue that keeps me up at night. Free #podcast
https://t.co/VPkBE19Qpd | @RIMSorg @RiskMgmt https://t.co/mMLoaHVB5O"
88,"Form a relationship with my Captors

Established 2016
#HumanTraffickingAwarenessMonth 184689 https://t.co/Swljyq8kgV"
89,"We’re thrilled to be nominated for the Freedom Spotlight award by @freedomunitedHQ for our work campaigning for sex workers’ rights &amp; protection from exploitation, violence &amp; trafficking. Please vote for us! Deadline 30 Jan https://t.co/jL2BVxLfIy #HumanTraffickingAwarenessMonth"
90,"With January being #HumanTraffickingAwarenessMonth, @MDSP are urging the public to recognize potential warning signs to reduce the chances of others becoming victims in the future. LEARN MORE: https://t.co/rkMrfOj1E3 @MissingKids https://t.co/ieGLKiLLuf"
91,National Human Trafficking Prevention Month 2023 https://t.co/rWTWyMRjgY @wirenews #wirenews #HumanTraffickingAwarenessMonth  #HumanTrafficking https://t.co/xQxjTQcTaV
92,Join us and our partner ECPAT-USA in ending child sex trafficking this #HumanTraffickingAwarenessMonth. Help us raise awareness and support for their crucial child protection programs. Visit https://t.co/GzWslARFQv to learn more. https://t.co/FBAqXqVj2X
93,Human trafficking happens in North Carolina. Let’s do what we can to end it. #ncstophumantrafficking #endhumantrafficking #humantraffickingpreventionmonth #humantraffickingawarenessmonth #humantrafficking https://t.co/0mg7phbqiC
94,"RT @Polaris_Project: For #HumanTraffickingAwarenessMonth, @Delta is featuring movies &amp; documentaries that accurately reflect the realities of human trafficking. Delta SkyMiles can also be donated to Polaris to purchase flights for survivors who need to leave their situations. …"
95,"Help fight human trafficking by saving these numbers in your phone and reporting suspected instances of human trafficking if you see them. #TacklingTrafficking @DHSgov 

#humantrafficking #humantraffickingawareness #humantraffickingprevention  #humantraffickingawarenessmonth https://t.co/h98Zl8Os6S"
96,January is #HumanTraffickingAwarenessMonth and @PhoenixPolice have been doing an amazing job educating about what  #HumanTrafficking does and does not look like https://t.co/LPWZd8Bclq
97,"HUMANITY
#HumanTrafficking #HumanRights #HumanityFirst #humans #HumanTraffickingAwarenessMonth #monkeyshines2023 #monkey125 #Monkey https://t.co/iDGJpiPMXq"
98,"Across North America, over 1.5 million members of the transportation industry have answered the call to join TAT's mobile army. We want to hear from you: Why are you a TAT?

#humantraffickingawarenessmonth #nhtam #nhtam23 #proudTAT https://t.co/DSnaXOi1WX"
99,"#HumanTrafficking is a form of modern slavery that occurs across the United States -- including Pennsylvania.

If you suspect someone is a victim, contact the National Human Trafficking Hotline at 1-888-373-7888 (TTY: 711), text 233733.

#HumanTraffickingAwarenessMonth https://t.co/eF5SU5wBKl"
100,"“ Let it not be said that I was silent when they needed me” 
William Wilberforce

Stop Human Trafficking 

#sgrho #1922 #HumanTrafficking #sigmagammarho #HumanTraffickingAwarenessMonth https://t.co/7joZtG6EMP"
101,"Join YWCA York next Saturday, January 28th, 11am-1pm in Cherry Lane to help create awareness around human trafficking by participating in #RedSandProject #YWCAYORK #HumanTraffickingAwarenessMonth https://t.co/YJrxHK01Xz"
102,"After Saturday’s Osceola County Red Sand Project event, presented by the Central Florida Human Trafficking Task Force, the hope is the cracks victims fall through will soon be filled by law enforcement and awareness. #HumanTraffickingAwarenessMonth https://t.co/xd6IgA7h2l"
103,"Chargé LaFave joined ???? gov’t and NGO partners to revise and extend the National Plan of Action to prevent human trafficking. For #HumanTraffickingAwarenessMonth, let us re-double our efforts to protect survivors, prosecute the guilty, and #EndTrafficking. @USAID_BD https://t.co/0xeboLGcul"
104,"January is Human Trafficking Awareness Month. I was amazed when translating material on the topic. Know the signs, Learn what I found out. https://t.co/YnfAr82hYi  #humantrafficking #HumanTraffickingAwarenessMonth #translation #French #outridgetranslation https://t.co/HMrhEKxTgT"
105,"It's #HumanTraffickingPreventionMonth   and we are out here raising awareness, spread the word about #HumanTraffickingAwarenessMonth and listen in on @Star1013  @iheartradio's 101.3 FM now! #EndHumanTrafficking https://t.co/UtnqOK9bJZ"
106,"It's #HumanTraffickingAwarenessMonth #humantraffickingpreventionmonth. Will you help us spread the word and support the work? We provide: #freefood #workshops #lifecoaching #survivorsupport #transportation #rentalsupport #housingsupport
#stopcse #stopcsam #EndTrafficking https://t.co/zTmi8OA0lD"
107,Tonight we’re going blue for Human Trafficking Awareness Month?? Help us spread awareness by saying something if you see something. #ATLairport  #HumanTraffickingAwarenessMonth https://t.co/R3KNj2xYDD
108,January is National #HumanTraffickingAwarenessMonth ~ Did you know that risks for human trafficking increase following natural disasters? Learn more + resources from @Polaris_Project https://t.co/yWT0jRmv0O &amp; call or text the national @Distressline 1-800-985-5990 for 24/7 support
109,"Learn all about the top ways you can help end human trafficking: https://t.co/Ngp3gNVewz 

#HumanTraffickingAwarenessMonth #humantraffickingawareness https://t.co/coYH8aoWSB"
110,"""Human trafficking's the fastest growing criminal industry in the world. It stands to reason that it's probably one of Satan's strongest strongholds.""

?? Kay Bennett; missionary @BFH_NOLA | #HumanTraffickingAwarenessMonth https://t.co/QIme60UeLp"
111,"CRD stands with survivors. California law protects you from human trafficking. #HumanTraffickingAwarenessMonth 

Learn more here: https://t.co/9KnMhzZPkM https://t.co/AKbbHpKmbN"
112,"https://t.co/DlSHSYbU1W If you were asked to spot the signs of human trafficking, could you do it? Meteorologist Carrigan Chauvin interviews CEO of United Against Human Trafficking to break down the importance of bringing awareness @CW39Houston #HumanTraffickingAwarenessMonth"
113,"Juniors led an insightful and powerful human trafficking prayer service. They shared facts, statistics, short clips, and prayers, and invited others to take a stand against the injustices that violate human dignity. #ramonaforlife #HumanTraffickingAwarenessMonth https://t.co/Csy2EyjKeh"
114,"Know the signs of human trafficking: victims often avoid eye contact or social interaction, seem to adhere to scripted responses, and be accompanied with older males.  

Learn more at https://t.co/1vIbM5Kdmh #ColoradoHumanTraffickingCouncil  #HumanTraffickingAwarenessMonth https://t.co/zfjlXQBXtc"
115,"Over 800k children go missing EVERY year.  We need police to search/rescue them. And unsolved killings of children. Selfish idiots doing a free for all at retailers, diverting police in all directions. We need to do better. #HumanTraffickingAwarenessMonth"
116,"Trust your instincts, and don’t hesitate. If you see something, say something. To request help or report suspected human trafficking, call the National Human Trafficking Hotline at 1-888-373-7888 or text ""help"" to BeFree (233733). #HumanTraffickingAwarenessMonth #PCHSV https://t.co/UZtRaFKrPN"
117,January is #HumanTraffickingAwarenessMonth and @CAWSNorthDakota developed this interactive training for community members to prevent and respond to human trafficking. Check it out! https://t.co/Sc3N2HbR5O
118,"We believe in a future without exploitation — one where survivors are supported, human trafficking no longer exists, and our communities are safer. Read more about the current anti-trafficking movement in our new blog post: https://t.co/WChogEgjCD #HumanTraffickingAwarenessMonth https://t.co/Y16QxzDQZx"
119,January is human trafficking awareness month; we honor survivors of human trafficking and support greater awareness of the ongoing issue of slavery worldwide. #HumanTraffickingAwarenessMonth https://t.co/wrPwzvQNsY
120,"This month, we raise awareness around the trafficking of people into labor or sex work using force, fraud or coercion

#HumanTraffickingAwarenessMonth #StartTheConversation https://t.co/FfVQlTYKzA"
121,"Fact or fiction? Sex trafficking is the only form of human trafficking. 

#HumanTraffickingAwarenessMonth https://t.co/7b10vG081t"
122,"New episode out now! Be sure to check out our Instagram for more photos.

#truecrime #podcast #truecrimepodcast #podcasting #podcaster #podcasters #applepodcasts #applepodcast #spotify #SA #HumanTrafficking #HumanTraffickingAwarenessMonth https://t.co/gsF7NjzmZd"
123,"UPDATE! HB1426 requiring health professionals be trained on human trafficking goes before HWI Subcommittee 2 tomorrow a.m.! It is crucial training be mandated!

Contact your legislators &amp; ask them to support HB1426!

#humantraffickingawarenes 
#HumanTraffickingAwarenessMonth https://t.co/hPRax60VDe"
124,"As of 2020, it was estimated that 280m people migrated overseas &amp; #MigrantWorkers are 3x more likely to be exploited at work. 

Hear from @Freedom_Fund on the intersection of #Modern Slavery and  #Migration. #HumanTraffickingAwarenessMonth https://t.co/XqH2NuyfwU"
125,"Children are far more likely to be exploited by someone they know, including family, than by a stranger.

#humantraffickingawarenessmonth #endchildslavery https://t.co/PsmrYgHZ0l"
126,"Raise awareness and know the facts.
#humantraffickingawarenessmonth #ywcayork https://t.co/KTVR2IGbQV"
127,"January is #HumanTraffickingAwarenessMonth, and NCMEC is excited to educate parents, caretakers and youth on what child sex trafficking is, what it can look like, and how to prevent this form of child abuse.

Read our latest blog: https://t.co/yw3zqp602Y https://t.co/VF0FrHVbQb"
128,"71% of #HumanTrafficking victims are estimated to be women and girls (@UNODC). Throughout #HumanTraffickingAwarenessMonth, let's share the hotline number and other resources to end #CrimesAgainstWomen.

National Human Trafficking Hotline: 888-373-7888"
